<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,60,01/11/22,10:00,127.2300000,127.9700000,126.7400000,126.8700000,12255650
SBER,60,01/11/22,11:00,126.8700000,127.1500000,126.5300000,126.8200000,3596700
SBER,60,01/11/22,12:00,126.8200000,127.3800000,126.6600000,127.0500000,2921030
SBER,60,01/11/22,13:00,127.0500000,127.0700000,126.1200000,126.5100000,4137950
SBER,60,01/11/22,14:00,126.5200000,127.1500000,126.4000000,127.1100000,2421700
SBER,60,01/11/22,15:00,127.1100000,127.2400000,126.8100000,127.2000000,2583960
SBER,60,01/11/22,16:00,127.2000000,127.5000000,127.0200000,127.2100000,2867070
SBER,60,01/11/22,17:00,127.2100000,127.2500000,126.8800000,126.8800000,1853700
SBER,60,01/11/22,18:00,126.9000000,127.1800000,126.8800000,127.1000000,1389800
SBER,60,01/11/22,19:00,127.1200000,127.3000000,127.0100000,127.1700000,855290
SBER,60,01/11/22,20:00,127.2200000,127.2300000,127.0500000,127.0900000,347420
SBER,60,01/11/22,21:00,127.0900000,127.2600000,127.0800000,127.1600000,350660
SBER,60,01/11/22,22:00,127.1600000,127.2100000,127.0200000,127.1200000,578800
SBER,60,01/11/22,23:00,127.1200000,127.1700000,126.9500000,127.0500000,560700
SBER,60,02/11/22,10:00,127.0500000,127.0900000,126.3000000,126.6200000,6636100
SBER,60,02/11/22,11:00,126.6200000,127.0500000,126.6000000,126.8200000,3453990
SBER,60,02/11/22,12:00,126.8200000,126.9100000,126.6200000,126.8000000,1237150
SBER,60,02/11/22,13:00,126.8000000,127.7400000,126.8000000,127.3900000,8267520
SBER,60,02/11/22,14:00,127.3800000,127.4400000,127.1200000,127.2900000,1910790
SBER,60,02/11/22,15:00,127.2800000,127.4500000,127.1200000,127.3000000,1423070
SBER,60,02/11/22,16:00,127.3000000,127.4000000,127.0500000,127.0500000,1768760
SBER,60,02/11/22,17:00,127.0500000,127.2800000,127.0500000,127.1100000,1164030
SBER,60,02/11/22,18:00,127.1100000,127.2400000,127.0600000,127.1400000,1043740
SBER,60,02/11/22,19:00,127.0200000,127.2100000,127.0200000,127.0900000,528680
SBER,60,02/11/22,20:00,127.0500000,127.2100000,127.0400000,127.1500000,449900
SBER,60,02/11/22,21:00,127.1500000,127.3000000,127.0000000,127.0300000,950420
SBER,60,02/11/22,22:00,127.0300000,127.0700000,126.0200000,126.2200000,3215600
SBER,60,02/11/22,23:00,126.2100000,126.3000000,123.7500000,125.4900000,8106630
SBER,60,03/11/22,10:00,125.3900000,126.1000000,124.5300000,124.9200000,12304130
SBER,60,03/11/22,11:00,124.9200000,125.0000000,123.9100000,124.7800000,9500760
SBER,60,03/11/22,12:00,124.7600000,124.8600000,124.2200000,124.6800000,3415000
SBER,60,03/11/22,13:00,124.6800000,125.4700000,124.5300000,125.2100000,4446200
SBER,60,03/11/22,14:00,125.2100000,125.4500000,124.7100000,124.8500000,2849910
SBER,60,03/11/22,15:00,124.8500000,125.4400000,124.8500000,125.0700000,2425010
SBER,60,03/11/22,16:00,125.0700000,125.1900000,124.4600000,124.9900000,2817560
SBER,60,03/11/22,17:00,125.0000000,125.8800000,124.7100000,125.5500000,4032810
SBER,60,03/11/22,18:00,125.5300000,125.7500000,125.1600000,125.4500000,1859630
SBER,60,03/11/22,19:00,125.4500000,125.4900000,125.2000000,125.4400000,655430
SBER,60,03/11/22,20:00,125.4700000,125.5000000,125.2500000,125.4400000,934020
SBER,60,03/11/22,21:00,125.4600000,125.4900000,125.2600000,125.3800000,469360
SBER,60,03/11/22,22:00,125.3600000,125.5000000,125.3500000,125.4700000,597970
SBER,60,03/11/22,23:00,125.4900000,125.7500000,125.4600000,125.7500000,1227930
SBER,60,07/11/22,10:00,127.0200000,127.4000000,126.5500000,126.5600000,8888050
SBER,60,07/11/22,11:00,126.5600000,128.5000000,126.5000000,128.2800000,12193550
SBER,60,07/11/22,12:00,128.2700000,129.9000000,128.2700000,129.5600000,18478370
SBER,60,07/11/22,13:00,129.5600000,130.3900000,129.4200000,129.6900000,10746890
SBER,60,07/11/22,14:00,129.6900000,129.9400000,129.1600000,129.5700000,4737290
SBER,60,07/11/22,15:00,129.5700000,130.0000000,129.3100000,129.9000000,2645070
SBER,60,07/11/22,16:00,129.9000000,130.2000000,129.5600000,130.1600000,4097100
SBER,60,07/11/22,17:00,130.1800000,131.7200000,130.1200000,131.3100000,14590160
SBER,60,07/11/22,18:00,131.3500000,131.7800000,131.2200000,131.6300000,6577540
SBER,60,07/11/22,19:00,131.3800000,131.9300000,131.1500000,131.3500000,1996240
SBER,60,07/11/22,20:00,131.3500000,131.5700000,131.2600000,131.5300000,1485460
SBER,60,07/11/22,21:00,131.5600000,131.9500000,131.5000000,131.5300000,2510750
SBER,60,07/11/22,22:00,131.5100000,131.7900000,131.3000000,131.7000000,1397140
SBER,60,07/11/22,23:00,131.7000000,132.0000000,131.5500000,132.0000000,1153180
SBER,60,08/11/22,10:00,131.9900000,133.1100000,130.2500000,131.2200000,25791900
SBER,60,08/11/22,11:00,131.2400000,131.5800000,130.1000000,131.5800000,8250400
SBER,60,08/11/22,12:00,131.5800000,131.5900000,130.5000000,131.0200000,6382890
SBER,60,08/11/22,13:00,131.0100000,131.2500000,130.6500000,131.0700000,2762060
SBER,60,08/11/22,14:00,131.0200000,132.3000000,130.9200000,131.9400000,8400090
SBER,60,08/11/22,15:00,131.9000000,132.0600000,131.2300000,131.6500000,3474910
SBER,60,08/11/22,16:00,131.6600000,131.9500000,130.6000000,130.8200000,4138750
SBER,60,08/11/22,17:00,130.8100000,131.3900000,130.6100000,131.2700000,2241620
SBER,60,08/11/22,18:00,131.2800000,131.4900000,131.0700000,131.1700000,1164930
SBER,60,08/11/22,19:00,131.1500000,131.6500000,131.1500000,131.6300000,1655920
SBER,60,08/11/22,20:00,131.6200000,131.7700000,131.4200000,131.5800000,1268630
SBER,60,08/11/22,21:00,131.5600000,131.7000000,131.2000000,131.3000000,719950
SBER,60,08/11/22,22:00,131.3100000,131.3400000,130.1700000,131.0000000,2335610
SBER,60,08/11/22,23:00,131.0000000,131.3500000,130.8700000,131.2900000,783920
SBER,60,09/11/22,10:00,131.0600000,131.4700000,129.8000000,129.9000000,9197950
SBER,60,09/11/22,11:00,129.8900000,130.4700000,129.5500000,129.6500000,7003590
SBER,60,09/11/22,12:00,129.6700000,130.3900000,129.3000000,129.3400000,4810060
SBER,60,09/11/22,13:00,129.3500000,129.7100000,129.1000000,129.5000000,4008310
SBER,60,09/11/22,14:00,129.5000000,129.6700000,128.8300000,129.4400000,5696560
SBER,60,09/11/22,15:00,129.4800000,130.3200000,129.3600000,130.3200000,4378270
SBER,60,09/11/22,16:00,130.3200000,130.3400000,129.6500000,129.9100000,3044110
SBER,60,09/11/22,17:00,129.9600000,130.1800000,129.4100000,129.7500000,3045870
SBER,60,09/11/22,18:00,129.7500000,129.9500000,128.2900000,128.2900000,7160400
SBER,60,09/11/22,19:00,128.0000000,128.2700000,126.4200000,128.2200000,9143480
SBER,60,09/11/22,20:00,128.2200000,128.3000000,127.1400000,127.9700000,3626520
SBER,60,09/11/22,21:00,128.0700000,128.1700000,127.5100000,127.9100000,1097030
SBER,60,09/11/22,22:00,127.9200000,127.9900000,127.4400000,127.5100000,887980
SBER,60,09/11/22,23:00,127.5100000,127.6500000,127.0000000,127.3000000,1732740
SBER,60,10/11/22,10:00,131.0200000,132.0000000,129.7700000,130.9600000,31623700
SBER,60,10/11/22,11:00,130.9600000,134.7700000,130.9600000,134.2000000,42956080
SBER,60,10/11/22,12:00,134.2000000,135.9000000,133.6600000,133.9200000,29734820
SBER,60,10/11/22,13:00,133.9100000,134.6900000,133.5700000,134.2000000,7516170
SBER,60,10/11/22,14:00,134.2000000,135.1600000,134.0700000,134.5700000,10526570
SBER,60,10/11/22,15:00,134.5600000,135.2000000,134.5000000,134.6000000,7100860
SBER,60,10/11/22,16:00,134.5900000,136.2500000,134.0500000,135.4900000,17527390
SBER,60,10/11/22,17:00,135.5000000,136.2000000,135.2600000,135.7300000,7825920
SBER,60,10/11/22,18:00,135.7200000,136.1300000,135.3200000,135.8700000,4701200
SBER,60,10/11/22,19:00,135.8700000,135.8800000,135.5100000,135.8200000,1971890
SBER,60,10/11/22,20:00,135.8200000,135.8800000,135.5700000,135.6400000,1527700
SBER,60,10/11/22,21:00,135.6400000,136.0900000,135.5700000,136.0800000,2044600
SBER,60,10/11/22,22:00,136.0400000,136.6700000,136.0200000,136.3200000,3534220
SBER,60,10/11/22,23:00,136.3300000,136.6900000,136.1800000,136.6800000,2299380
SBER,60,11/11/22,10:00,137.7100000,138.4200000,135.1300000,135.3500000,27670080
SBER,60,11/11/22,11:00,135.3600000,136.5000000,135.2000000,135.6000000,8606670
SBER,60,11/11/22,12:00,135.6100000,136.4400000,135.3300000,135.9800000,5045690
SBER,60,11/11/22,13:00,135.9700000,137.4700000,135.7700000,136.9200000,7877430
SBER,60,11/11/22,14:00,136.9100000,137.2900000,136.2000000,137.0300000,4084820
SBER,60,11/11/22,15:00,137.0300000,137.4700000,136.7400000,137.3200000,3188620
SBER,60,11/11/22,16:00,137.3200000,137.3400000,136.5000000,136.6800000,3929270
SBER,60,11/11/22,17:00,136.6700000,136.8400000,135.6700000,136.3000000,4753230
SBER,60,11/11/22,18:00,136.3200000,136.8800000,136.1800000,136.7400000,2398360
SBER,60,11/11/22,19:00,136.6000000,137.2100000,136.4200000,136.8900000,2342490
SBER,60,11/11/22,20:00,136.9000000,136.9700000,136.7900000,136.8200000,1481670
SBER,60,11/11/22,21:00,136.8000000,137.1400000,136.5600000,136.8900000,1365500
SBER,60,11/11/22,22:00,136.8800000,137.0000000,136.7000000,136.9100000,946190
SBER,60,11/11/22,23:00,136.9200000,136.9900000,136.8300000,136.9800000,1588880
SBER,60,14/11/22,10:00,137.4100000,137.5000000,135.8300000,136.5300000,13338190
SBER,60,14/11/22,11:00,136.5300000,139.4700000,136.2400000,138.7300000,16502750
SBER,60,14/11/22,12:00,138.7300000,139.8800000,138.5100000,139.6200000,10692920
SBER,60,14/11/22,13:00,139.6200000,140.1700000,138.8700000,139.2900000,11481480
SBER,60,14/11/22,14:00,139.2900000,139.4700000,138.6800000,138.7200000,4394750
SBER,60,14/11/22,15:00,138.7100000,139.7900000,138.6900000,139.3400000,3453090
SBER,60,14/11/22,16:00,139.3400000,140.3500000,139.2100000,139.4800000,6572480
SBER,60,14/11/22,17:00,139.4800000,140.1100000,139.4200000,139.9000000,5141440
SBER,60,14/11/22,18:00,139.8900000,140.2000000,139.6000000,139.8200000,3310170
SBER,60,14/11/22,19:00,139.8900000,140.7000000,139.8000000,139.8200000,2847290
SBER,60,14/11/22,20:00,139.8200000,139.9500000,139.7000000,139.9000000,1123980
SBER,60,14/11/22,21:00,139.9100000,140.1200000,139.8600000,139.9900000,1222160
SBER,60,14/11/22,22:00,140.0000000,140.1500000,139.7000000,139.7400000,1211790
SBER,60,14/11/22,23:00,139.7400000,139.9000000,139.7000000,139.8000000,1090970
SBER,60,15/11/22,10:00,140.4000000,141.0000000,138.8800000,140.5000000,16220130
SBER,60,15/11/22,11:00,140.5000000,140.9000000,137.8100000,137.9000000,16858600
SBER,60,15/11/22,12:00,137.9100000,138.5000000,137.1000000,138.4500000,12085540
SBER,60,15/11/22,13:00,138.4800000,139.1800000,137.9000000,138.0700000,7195020
SBER,60,15/11/22,14:00,138.0700000,138.2800000,137.2200000,137.9200000,6424460
SBER,60,15/11/22,15:00,137.9400000,138.4600000,137.1000000,137.5000000,5784190
SBER,60,15/11/22,16:00,137.4900000,138.4000000,137.4000000,138.2300000,3907990
SBER,60,15/11/22,17:00,138.2300000,138.4800000,137.8400000,138.1700000,2584950
SBER,60,15/11/22,18:00,138.1700000,138.4400000,137.7300000,137.9000000,2215930
SBER,60,15/11/22,19:00,137.8000000,137.9800000,137.5000000,137.8200000,1407570
SBER,60,15/11/22,20:00,137.8500000,137.9000000,137.4600000,137.6300000,1186030
SBER,60,15/11/22,21:00,137.6200000,137.8700000,133.2000000,134.3700000,20965840
SBER,60,15/11/22,22:00,134.3700000,136.9000000,130.8600000,136.5300000,39679790
SBER,60,15/11/22,23:00,136.5300000,136.5900000,135.1100000,135.6600000,8756990
SBER,60,16/11/22,10:00,136.9900000,138.2000000,136.3200000,137.9800000,20465210
SBER,60,16/11/22,11:00,137.9800000,138.0000000,137.4000000,137.4200000,4938630
SBER,60,16/11/22,12:00,137.4200000,139.3000000,137.2900000,138.7400000,13136480
SBER,60,16/11/22,13:00,138.7100000,139.2000000,138.4200000,138.8900000,5186800
SBER,60,16/11/22,14:00,138.8900000,138.9800000,138.3200000,138.7900000,3386340
SBER,60,16/11/22,15:00,138.7900000,139.7300000,138.5200000,139.2300000,4948300
SBER,60,16/11/22,16:00,139.2400000,139.4400000,138.6000000,138.9000000,3314430
SBER,60,16/11/22,17:00,138.9000000,139.0700000,138.1400000,138.5200000,3533930
SBER,60,16/11/22,18:00,138.5300000,139.1900000,138.4600000,139.0000000,2821210
SBER,60,16/11/22,19:00,138.9900000,139.4900000,138.6100000,138.7800000,1526160
SBER,60,16/11/22,20:00,138.7500000,138.9800000,138.4100000,138.8500000,1408300
SBER,60,16/11/22,21:00,138.8500000,138.9800000,138.6600000,138.9400000,435120
SBER,60,16/11/22,22:00,138.9400000,139.2100000,138.9100000,139.0200000,992070
SBER,60,16/11/22,23:00,139.0300000,139.2100000,138.9300000,139.1800000,723130
SBER,60,17/11/22,10:00,139.1100000,140.3500000,138.6400000,139.6000000,14689930
SBER,60,17/11/22,11:00,139.6000000,139.8700000,138.7800000,139.4800000,4910480
SBER,60,17/11/22,12:00,139.4900000,139.4900000,139.0700000,139.0800000,1286390
SBER,60,17/11/22,13:00,139.0700000,139.1500000,137.3600000,137.9800000,13442200
SBER,60,17/11/22,14:00,138.0000000,138.4100000,137.6900000,137.8500000,3134610
SBER,60,17/11/22,15:00,137.8400000,138.1500000,137.5000000,137.8300000,3094680
SBER,60,17/11/22,16:00,137.8300000,137.8600000,136.6000000,136.8900000,7334120
SBER,60,17/11/22,17:00,136.8800000,137.8500000,136.6500000,137.4000000,5294240
SBER,60,17/11/22,18:00,137.4200000,137.8100000,137.2400000,137.6000000,1292860
SBER,60,17/11/22,19:00,137.5900000,137.7500000,137.2000000,137.5600000,1532230
SBER,60,17/11/22,20:00,137.5700000,137.9300000,137.5600000,137.6400000,1000760
SBER,60,17/11/22,21:00,137.6400000,137.8800000,137.6000000,137.8100000,820770
SBER,60,17/11/22,22:00,137.8100000,137.9000000,137.4500000,137.5600000,696400
SBER,60,17/11/22,23:00,137.5800000,137.7400000,137.4600000,137.5700000,556140
SBER,60,18/11/22,10:00,137.1000000,137.7600000,136.7000000,137.7500000,6814710
SBER,60,18/11/22,11:00,137.7500000,137.8100000,136.3600000,136.6500000,5860430
SBER,60,18/11/22,12:00,136.6500000,136.9600000,136.0600000,136.2300000,3904590
SBER,60,18/11/22,13:00,136.2100000,136.4700000,135.8400000,136.1200000,5225850
SBER,60,18/11/22,14:00,136.1200000,136.6900000,136.0000000,136.4900000,3666520
SBER,60,18/11/22,15:00,136.5000000,136.5300000,136.1000000,136.4400000,1861710
SBER,60,18/11/22,16:00,136.4600000,136.6000000,135.8700000,136.0100000,3812400
SBER,60,18/11/22,17:00,136.0200000,136.9300000,135.9000000,136.3300000,5121480
SBER,60,18/11/22,18:00,136.3000000,136.4900000,136.0100000,136.0100000,2746000
SBER,60,18/11/22,19:00,136.3700000,136.3700000,136.0200000,136.1700000,769580
SBER,60,18/11/22,20:00,136.1700000,136.3200000,136.0200000,136.0600000,766500
SBER,60,18/11/22,21:00,136.0600000,136.2600000,136.0000000,136.1600000,901080
SBER,60,18/11/22,22:00,136.1800000,136.5100000,136.0500000,136.3400000,987520
SBER,60,18/11/22,23:00,136.3700000,136.9500000,136.2900000,136.8900000,1571510
SBER,60,21/11/22,10:00,136.0100000,136.3000000,134.7400000,134.7500000,16331040
SBER,60,21/11/22,11:00,134.7500000,134.8200000,133.1800000,133.2600000,15824850
SBER,60,21/11/22,12:00,133.2600000,133.8800000,132.8100000,133.6700000,10950520
SBER,60,21/11/22,13:00,133.6600000,133.8400000,133.0300000,133.3800000,4341720
SBER,60,21/11/22,14:00,133.4200000,133.8500000,133.0500000,133.5400000,3504660
SBER,60,21/11/22,15:00,133.5300000,133.8200000,133.2600000,133.7800000,2332590
SBER,60,21/11/22,16:00,133.7800000,134.4900000,133.7000000,134.0200000,5856330
SBER,60,21/11/22,17:00,134.0200000,134.3000000,133.0000000,133.3000000,7354060
SBER,60,21/11/22,18:00,133.3100000,133.4500000,133.0200000,133.3800000,2256570
SBER,60,21/11/22,19:00,133.3000000,133.3000000,132.5100000,133.1900000,3151540
SBER,60,21/11/22,20:00,133.1600000,134.2000000,133.1000000,134.1800000,4514230
SBER,60,21/11/22,21:00,134.2000000,134.8700000,134.0800000,134.4000000,4844820
SBER,60,21/11/22,22:00,134.3600000,134.4900000,134.2000000,134.2600000,1032880
SBER,60,21/11/22,23:00,134.2400000,134.7000000,134.2000000,134.4600000,1099690
SBER,60,22/11/22,10:00,134.5500000,135.2900000,133.8100000,135.0000000,13863920
SBER,60,22/11/22,11:00,135.0000000,135.5800000,134.6200000,134.9600000,7716390
SBER,60,22/11/22,12:00,134.9700000,135.4800000,134.7100000,134.9700000,3402060
SBER,60,22/11/22,13:00,134.9900000,135.2500000,134.8500000,135.0900000,1512600
SBER,60,22/11/22,14:00,135.0900000,135.1500000,134.5500000,134.6700000,2190560
SBER,60,22/11/22,15:00,134.7000000,135.0600000,134.2200000,134.7200000,2660030
SBER,60,22/11/22,16:00,134.7400000,135.3600000,134.6000000,135.0600000,2216330
SBER,60,22/11/22,17:00,135.0600000,135.4600000,134.7300000,135.4000000,2736890
SBER,60,22/11/22,18:00,135.4000000,135.8700000,135.2100000,135.7500000,3781650
SBER,60,22/11/22,19:00,135.7900000,135.9500000,135.4100000,135.5600000,1639850
SBER,60,22/11/22,20:00,135.5400000,136.0000000,135.5000000,135.8500000,1529650
SBER,60,22/11/22,21:00,135.8500000,135.8500000,135.5100000,135.6200000,1054540
SBER,60,22/11/22,22:00,135.6300000,135.7000000,135.5100000,135.5700000,824840
SBER,60,22/11/22,23:00,135.6000000,135.7700000,135.5500000,135.6500000,644790
SBER,60,23/11/22,10:00,135.7000000,135.8800000,134.7300000,134.9000000,7947820
SBER,60,23/11/22,11:00,134.9200000,135.3000000,134.5000000,134.9700000,4225270
SBER,60,23/11/22,12:00,134.9700000,137.3400000,134.7600000,137.2300000,13453440
SBER,60,23/11/22,13:00,137.2300000,137.3200000,136.5000000,136.7800000,6229190
SBER,60,23/11/22,14:00,136.7800000,137.0000000,136.3400000,136.9900000,4350310
SBER,60,23/11/22,15:00,136.9900000,137.5500000,136.6600000,136.7900000,4849730
SBER,60,23/11/22,16:00,136.7800000,136.8700000,136.2200000,136.4000000,2978680
SBER,60,23/11/22,17:00,136.4000000,137.2000000,136.3000000,137.0000000,2968680
SBER,60,23/11/22,18:00,137.0000000,137.1000000,136.6800000,136.8700000,1728090
SBER,60,23/11/22,19:00,136.8100000,137.0000000,136.6200000,136.6300000,762990
SBER,60,23/11/22,20:00,136.6300000,136.7800000,136.5400000,136.7500000,707050
SBER,60,23/11/22,21:00,136.7500000,136.7900000,136.5700000,136.6000000,449700
SBER,60,23/11/22,22:00,136.6000000,136.9800000,136.5600000,136.6900000,737940
SBER,60,23/11/22,23:00,136.7000000,136.8800000,136.5600000,136.5900000,870170
SBER,60,24/11/22,10:00,137.0000000,137.7800000,136.1200000,137.6000000,9246200
SBER,60,24/11/22,11:00,137.6000000,138.1600000,137.4100000,137.8300000,5420910
SBER,60,24/11/22,12:00,137.8200000,138.4100000,137.7600000,137.7600000,4750980
SBER,60,24/11/22,13:00,137.7600000,138.2200000,137.5200000,137.7800000,3426380
SBER,60,24/11/22,14:00,137.7700000,138.1000000,137.2000000,137.5300000,4123390
SBER,60,24/11/22,15:00,137.5200000,137.9800000,137.4700000,137.8500000,2506950
SBER,60,24/11/22,16:00,137.8500000,137.9000000,137.2700000,137.4000000,2496360
SBER,60,24/11/22,17:00,137.4000000,137.7000000,136.8000000,136.8800000,4109170
SBER,60,24/11/22,18:00,136.8800000,137.0500000,136.5900000,136.8200000,2039500
SBER,60,24/11/22,19:00,136.8200000,137.0800000,136.7100000,136.9400000,678660
SBER,60,24/11/22,20:00,136.9500000,137.0100000,136.8200000,136.9600000,294200
SBER,60,24/11/22,21:00,136.9700000,137.0000000,136.5600000,136.7000000,779280
SBER,60,24/11/22,22:00,136.7100000,136.8200000,136.3100000,136.6100000,1918230
SBER,60,24/11/22,23:00,136.6100000,136.7800000,136.4300000,136.6100000,529630
SBER,60,25/11/22,10:00,137.2000000,137.2400000,135.6100000,135.7400000,8670120
SBER,60,25/11/22,11:00,135.7300000,136.2700000,135.6900000,135.8800000,2505100
SBER,60,25/11/22,12:00,135.8900000,135.9900000,135.4100000,135.8000000,3112530
SBER,60,25/11/22,13:00,135.8000000,136.2300000,135.7700000,136.0000000,2266420
