<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,60,30/10/20,20:00,201.2000000,201.2000000,201.0100000,201.1000000,753690
SBER,60,30/10/20,21:00,201.1000000,201.2500000,200.8000000,201.0000000,1500240
SBER,60,30/10/20,22:00,201.0100000,201.0700000,200.6100000,200.8300000,916840
SBER,60,30/10/20,23:00,200.8500000,201.1100000,200.8500000,200.9900000,914460
SBER,60,02/11/20,10:00,200.4400000,200.4500000,196.1500000,199.2000000,20050820
SBER,60,02/11/20,11:00,199.1600000,200.8600000,198.6000000,200.5000000,12476800
SBER,60,02/11/20,12:00,200.5000000,201.6100000,200.1600000,201.3200000,6149170
SBER,60,02/11/20,13:00,201.3200000,201.7700000,200.8000000,201.1500000,3818770
SBER,60,02/11/20,14:00,201.1500000,202.4000000,201.1100000,202.1500000,5389290
SBER,60,02/11/20,15:00,202.1500000,203.3700000,202.0200000,203.0100000,7571660
SBER,60,02/11/20,16:00,203.0000000,204.1500000,203.0000000,203.7900000,7428900
SBER,60,02/11/20,17:00,203.8000000,203.8800000,203.0300000,203.5500000,5407830
SBER,60,02/11/20,18:00,203.5800000,204.4900000,203.2100000,203.5800000,8226380
SBER,60,02/11/20,19:00,204.0600000,204.5900000,204.0100000,204.4000000,2393590
SBER,60,02/11/20,20:00,204.4000000,204.4900000,204.0300000,204.2700000,734610
SBER,60,02/11/20,21:00,204.3100000,204.3600000,203.6000000,203.6200000,946420
SBER,60,02/11/20,22:00,203.6200000,204.2000000,203.5800000,204.0000000,805760
SBER,60,02/11/20,23:00,203.9500000,204.5300000,203.9100000,204.5000000,802910
SBER,60,03/11/20,10:00,205.7000000,205.9900000,203.8000000,205.2900000,12031430
SBER,60,03/11/20,11:00,205.2800000,207.1700000,205.0000000,206.4600000,13195550
SBER,60,03/11/20,12:00,206.4600000,207.2500000,205.4000000,207.0000000,7660060
SBER,60,03/11/20,13:00,207.0000000,207.7000000,206.6200000,207.3400000,5759600
SBER,60,03/11/20,14:00,207.3000000,208.3800000,207.0400000,207.8400000,9271550
SBER,60,03/11/20,15:00,207.9000000,208.1000000,207.2500000,207.3900000,4274710
SBER,60,03/11/20,16:00,207.4400000,209.1400000,206.7600000,209.0400000,8862940
SBER,60,03/11/20,17:00,209.0200000,209.8400000,208.5700000,209.6400000,8119670
SBER,60,03/11/20,18:00,209.6000000,209.9600000,208.8300000,209.9600000,10996530
SBER,60,03/11/20,19:00,210.5000000,211.1100000,208.7000000,208.9800000,6056480
SBER,60,03/11/20,20:00,208.9900000,209.3800000,208.7800000,208.9300000,942940
SBER,60,03/11/20,21:00,208.9500000,209.2700000,208.8500000,208.8600000,1098510
SBER,60,03/11/20,22:00,208.8600000,209.0000000,208.5300000,208.6800000,925950
