<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,60,29/09/21,10:00,354.0500000,358.3000000,352.3000000,357.1800000,13280270
GAZP,60,29/09/21,11:00,357.1800000,357.9200000,356.3300000,357.9100000,3700010
GAZP,60,29/09/21,12:00,357.9100000,358.0000000,356.9000000,357.6000000,2967470
GAZP,60,29/09/21,13:00,357.5600000,358.0000000,357.4800000,357.8100000,2797810
GAZP,60,29/09/21,14:00,357.8100000,357.9000000,356.8700000,357.1900000,2269050
GAZP,60,29/09/21,15:00,357.2300000,357.5000000,356.0100000,356.1100000,3551410
GAZP,60,29/09/21,16:00,356.1900000,356.8800000,354.3400000,356.5000000,6368890
GAZP,60,29/09/21,17:00,356.6400000,359.7800000,356.2300000,359.3600000,9218570
GAZP,60,29/09/21,18:00,359.3800000,359.8600000,358.1000000,358.5000000,9166330
GAZP,60,29/09/21,19:00,358.5000000,358.9100000,357.5300000,358.1200000,1169260
GAZP,60,29/09/21,20:00,358.0400000,359.0000000,358.0100000,358.7400000,730340
GAZP,60,29/09/21,21:00,358.8700000,360.0000000,358.8000000,359.8900000,1752000
GAZP,60,29/09/21,22:00,359.8800000,360.8900000,359.1000000,359.1500000,1853370
GAZP,60,29/09/21,23:00,359.1100000,360.9400000,359.1000000,360.8800000,1319890
GAZP,60,30/09/21,10:00,363.2600000,364.5300000,361.8600000,362.9800000,16056660
GAZP,60,30/09/21,11:00,362.9600000,363.9000000,362.7300000,363.8000000,4272070
GAZP,60,30/09/21,12:00,363.8000000,364.2000000,363.2500000,363.5500000,4972390
GAZP,60,30/09/21,13:00,363.5600000,363.6300000,360.4400000,361.8700000,8053140
GAZP,60,30/09/21,14:00,361.8800000,361.9300000,359.6700000,360.2600000,6191920
GAZP,60,30/09/21,15:00,360.2600000,362.5000000,360.1800000,361.9200000,4899390
GAZP,60,30/09/21,16:00,361.9200000,362.4500000,361.2000000,362.0500000,4389760
GAZP,60,30/09/21,17:00,362.0500000,362.3500000,359.9200000,360.6900000,5208580
GAZP,60,30/09/21,18:00,360.6700000,362.0000000,360.5600000,361.5400000,10560780
GAZP,60,30/09/21,19:00,361.0000000,361.3600000,359.5300000,360.1900000,1842110
GAZP,60,30/09/21,20:00,360.1900000,361.1700000,359.8000000,360.4500000,943390
GAZP,60,30/09/21,21:00,360.4600000,361.0000000,360.3000000,360.8900000,678960
GAZP,60,30/09/21,22:00,360.8500000,361.4800000,360.2500000,360.2700000,1080640
GAZP,60,30/09/21,23:00,360.2800000,361.0900000,360.2500000,360.8000000,726410
GAZP,60,01/10/21,10:00,358.4500000,360.2600000,356.2200000,357.6100000,10575240
GAZP,60,01/10/21,11:00,357.5400000,358.4600000,356.0000000,358.3000000,4974250
GAZP,60,01/10/21,12:00,358.3200000,358.9700000,357.0300000,357.8400000,2162980
GAZP,60,01/10/21,13:00,357.8400000,358.3800000,357.6100000,357.8100000,1362730
GAZP,60,01/10/21,14:00,357.8700000,360.3700000,357.7000000,360.0000000,4856040
GAZP,60,01/10/21,15:00,359.9700000,362.9800000,359.9700000,362.7400000,4364450
GAZP,60,01/10/21,16:00,362.6800000,362.8500000,361.1700000,361.6400000,5227660
GAZP,60,01/10/21,17:00,361.6000000,362.1500000,360.3000000,361.3100000,5660640
GAZP,60,01/10/21,18:00,361.2500000,361.5000000,360.4200000,360.4200000,3303590
GAZP,60,01/10/21,19:00,360.7700000,362.5800000,360.7600000,361.8500000,1070250
GAZP,60,01/10/21,20:00,361.8500000,362.4000000,361.5500000,362.2900000,640080
GAZP,60,01/10/21,21:00,362.2900000,362.9000000,362.2000000,362.7500000,1269830
GAZP,60,01/10/21,22:00,362.7300000,362.9900000,362.4000000,362.8500000,782820
GAZP,60,01/10/21,23:00,362.8500000,363.7800000,362.8000000,363.2500000,1278530
GAZP,60,04/10/21,10:00,364.6700000,368.8000000,364.3000000,367.6500000,14927180
GAZP,60,04/10/21,11:00,367.6100000,368.5000000,367.1000000,367.7800000,5714770
GAZP,60,04/10/21,12:00,367.7600000,369.6600000,367.5400000,369.2600000,9038320
GAZP,60,04/10/21,13:00,369.2600000,369.9000000,368.1500000,369.2500000,8584040
GAZP,60,04/10/21,14:00,369.2500000,369.7000000,368.7000000,369.2900000,2865950
GAZP,60,04/10/21,15:00,369.2900000,369.5000000,368.0000000,369.2200000,3648930
GAZP,60,04/10/21,16:00,369.2200000,369.3000000,368.0300000,368.5700000,5975070
GAZP,60,04/10/21,17:00,368.5600000,371.9600000,368.3300000,370.7300000,19185390
GAZP,60,04/10/21,18:00,370.7000000,372.0000000,370.0100000,371.0000000,10779080
GAZP,60,04/10/21,19:00,371.1600000,374.1100000,371.1500000,374.0900000,5751510
GAZP,60,04/10/21,20:00,374.0900000,378.3300000,373.1500000,378.1100000,6326710
GAZP,60,04/10/21,21:00,378.1100000,378.2000000,376.0200000,376.3400000,4881040
GAZP,60,04/10/21,22:00,376.3300000,377.2000000,376.1200000,376.9200000,2114710
GAZP,60,04/10/21,23:00,376.9000000,377.0000000,376.0000000,376.0600000,2434630
GAZP,60,05/10/21,10:00,378.0600000,383.4000000,378.0300000,379.0400000,31620230
GAZP,60,05/10/21,11:00,379.0400000,381.8500000,378.2300000,381.7900000,8473390
GAZP,60,05/10/21,12:00,381.7200000,382.9800000,381.2000000,382.1800000,8874870
GAZP,60,05/10/21,13:00,382.1800000,384.3500000,381.9900000,382.9900000,11868270
GAZP,60,05/10/21,14:00,382.9900000,383.8900000,382.0000000,382.8100000,8547780
GAZP,60,05/10/21,15:00,382.8700000,384.0000000,382.0600000,383.5800000,7028120
GAZP,60,05/10/21,16:00,383.5800000,385.2700000,383.3100000,384.9400000,13050080
GAZP,60,05/10/21,17:00,384.8500000,386.2300000,384.4000000,384.7500000,20942030
GAZP,60,05/10/21,18:00,384.7800000,385.9400000,383.8800000,385.2000000,11244730
GAZP,60,05/10/21,19:00,385.5300000,386.5000000,384.8500000,385.6500000,2434150
GAZP,60,05/10/21,20:00,385.6500000,385.8700000,385.5400000,385.7000000,1190480
GAZP,60,05/10/21,21:00,385.7000000,385.7700000,384.5200000,385.2000000,1846910
GAZP,60,05/10/21,22:00,385.1800000,386.5000000,385.0000000,386.4000000,2240120
GAZP,60,05/10/21,23:00,386.4300000,389.8200000,386.1000000,389.8200000,5160660
