<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,60,08/11/22,13:00,169.8000000,170.1000000,169.7000000,170.0900000,953340
GAZP,60,08/11/22,14:00,170.0900000,172.0000000,170.0900000,171.1800000,8133100
GAZP,60,08/11/22,15:00,171.1800000,171.4200000,170.6100000,171.1500000,1963410
GAZP,60,08/11/22,16:00,171.1500000,171.2900000,170.5000000,170.6500000,1655800
GAZP,60,08/11/22,17:00,170.6900000,170.8400000,170.0200000,170.6300000,1257960
GAZP,60,08/11/22,18:00,170.6300000,170.6800000,169.9500000,170.0000000,1576090
GAZP,60,08/11/22,19:00,170.0000000,170.4400000,169.9600000,170.3700000,435520
GAZP,60,08/11/22,20:00,170.3700000,170.4900000,170.1300000,170.4500000,339590
GAZP,60,08/11/22,21:00,170.4900000,170.6900000,169.9600000,169.9900000,612470
GAZP,60,08/11/22,22:00,169.9900000,170.0000000,169.2000000,169.5000000,919890
GAZP,60,08/11/22,23:00,169.5000000,169.9900000,169.4600000,169.9700000,426520
GAZP,60,09/11/22,10:00,169.8400000,170.3200000,169.0000000,169.2700000,3091610
GAZP,60,09/11/22,11:00,169.2200000,169.6100000,168.1400000,168.1500000,3299160
GAZP,60,09/11/22,12:00,168.1400000,168.6900000,168.1100000,168.1800000,1994800
GAZP,60,09/11/22,13:00,168.1900000,168.6400000,168.1600000,168.3400000,1011030
GAZP,60,09/11/22,14:00,168.4100000,169.0900000,168.2500000,169.0900000,1219850
GAZP,60,09/11/22,15:00,169.0900000,169.2800000,168.6500000,169.1700000,902590
GAZP,60,09/11/22,16:00,169.1700000,169.2500000,168.5800000,168.7700000,964500
GAZP,60,09/11/22,17:00,168.7700000,168.9500000,168.5100000,168.7500000,659600
GAZP,60,09/11/22,18:00,168.7600000,168.9500000,168.1000000,168.1000000,1745910
GAZP,60,09/11/22,19:00,168.0800000,168.0800000,166.1500000,167.6200000,2240360
GAZP,60,09/11/22,20:00,167.6200000,167.7300000,166.8200000,167.6400000,998440
GAZP,60,09/11/22,21:00,167.6200000,167.6500000,167.1300000,167.2600000,293610
GAZP,60,09/11/22,22:00,167.2600000,167.3500000,167.1000000,167.1000000,337760
GAZP,60,09/11/22,23:00,167.1000000,167.2800000,167.0200000,167.1000000,323270
GAZP,60,10/11/22,10:00,167.5000000,168.0000000,167.1800000,167.6300000,2638330
GAZP,60,10/11/22,11:00,167.5800000,169.6100000,167.5800000,169.5900000,3532940
GAZP,60,10/11/22,12:00,169.6000000,169.6100000,168.7700000,168.8800000,2022320
GAZP,60,10/11/22,13:00,168.8600000,169.4600000,168.6200000,169.3800000,1172090
GAZP,60,10/11/22,14:00,169.3800000,170.1800000,169.3100000,169.7400000,2403010
GAZP,60,10/11/22,15:00,169.7400000,169.9000000,168.7800000,168.9300000,1582690
GAZP,60,10/11/22,16:00,168.9600000,168.9600000,168.0000000,168.3700000,3374240
GAZP,60,10/11/22,17:00,168.3700000,168.9000000,168.1000000,168.4000000,3370440
GAZP,60,10/11/22,18:00,168.4000000,168.5000000,168.3400000,168.4000000,1209570
GAZP,60,10/11/22,19:00,168.7500000,169.2900000,168.3500000,169.2900000,834760
GAZP,60,10/11/22,20:00,169.2900000,169.3000000,168.5000000,168.8600000,658610
GAZP,60,10/11/22,21:00,168.8600000,169.1500000,168.5800000,168.9000000,363640
GAZP,60,10/11/22,22:00,168.9000000,169.1200000,168.8300000,168.9000000,353860
GAZP,60,10/11/22,23:00,168.9000000,168.9000000,168.5200000,168.9000000,393080
GAZP,60,11/11/22,10:00,169.2900000,169.5400000,167.5600000,168.0900000,3817650
GAZP,60,11/11/22,11:00,168.1400000,168.6100000,168.0000000,168.2400000,988420
GAZP,60,11/11/22,12:00,168.2400000,168.4900000,167.5100000,168.1500000,1296050
GAZP,60,11/11/22,13:00,168.1400000,168.6900000,168.0000000,168.6100000,776370
GAZP,60,11/11/22,14:00,168.6200000,168.7000000,168.2500000,168.4900000,725920
GAZP,60,11/11/22,15:00,168.4900000,168.8600000,168.4400000,168.7100000,832890
GAZP,60,11/11/22,16:00,168.7100000,168.7500000,168.5300000,168.6000000,890370
GAZP,60,11/11/22,17:00,168.6000000,169.0900000,168.5400000,169.0100000,1890460
GAZP,60,11/11/22,18:00,169.0100000,170.0000000,169.0000000,169.9600000,2395400
GAZP,60,11/11/22,19:00,169.9600000,170.6000000,169.5000000,169.8900000,1288770
GAZP,60,11/11/22,20:00,169.8800000,169.9500000,169.6200000,169.8500000,539830
GAZP,60,11/11/22,21:00,169.8700000,169.9900000,169.6600000,169.9700000,328650
GAZP,60,11/11/22,22:00,169.9600000,169.9900000,169.7400000,169.8500000,441720
GAZP,60,11/11/22,23:00,169.8500000,169.9000000,169.8000000,169.8600000,367020
GAZP,60,14/11/22,10:00,170.8300000,171.9200000,170.1600000,170.6600000,6561060
GAZP,60,14/11/22,11:00,170.6700000,170.7700000,170.1600000,170.4600000,2743130
GAZP,60,14/11/22,12:00,170.4600000,170.5700000,170.2200000,170.2300000,1150370
GAZP,60,14/11/22,13:00,170.2300000,170.3800000,169.7000000,169.7200000,2267180
GAZP,60,14/11/22,14:00,169.7100000,169.8300000,169.0500000,169.1200000,1925790
GAZP,60,14/11/22,15:00,169.1300000,169.6000000,169.0000000,169.0600000,1744630
GAZP,60,14/11/22,16:00,169.0600000,169.0600000,166.5100000,167.9800000,6699610
GAZP,60,14/11/22,17:00,167.9700000,168.4900000,167.5500000,168.2000000,2268700
GAZP,60,14/11/22,18:00,168.2000000,169.6300000,168.1200000,169.6300000,1994930
GAZP,60,14/11/22,19:00,169.4600000,169.6300000,169.0200000,169.2000000,764910
GAZP,60,14/11/22,20:00,169.2000000,169.5800000,169.2000000,169.3000000,551860
GAZP,60,14/11/22,21:00,169.3000000,169.3000000,169.2400000,169.3000000,387970
GAZP,60,14/11/22,22:00,169.2400000,169.5800000,169.2300000,169.5500000,417060
GAZP,60,14/11/22,23:00,169.5400000,169.6900000,169.4400000,169.6000000,528830
GAZP,60,15/11/22,10:00,171.1000000,171.3000000,169.3400000,169.9000000,4014720
GAZP,60,15/11/22,11:00,169.9000000,169.9000000,168.6700000,168.9300000,2222630
GAZP,60,15/11/22,12:00,168.9700000,169.5000000,168.4000000,169.3800000,2050340
GAZP,60,15/11/22,13:00,169.3700000,169.5000000,169.0200000,169.2200000,969670
GAZP,60,15/11/22,14:00,169.2300000,169.2800000,168.6300000,168.9200000,840880
GAZP,60,15/11/22,15:00,168.9200000,169.0400000,168.6000000,168.6000000,797250
GAZP,60,15/11/22,16:00,168.6000000,169.4800000,168.5400000,169.2500000,880000
GAZP,60,15/11/22,17:00,169.2500000,169.3600000,168.8400000,169.3400000,521140
GAZP,60,15/11/22,18:00,169.3400000,169.9500000,169.2400000,169.2500000,856150
GAZP,60,15/11/22,19:00,169.2500000,169.3800000,168.9000000,169.0500000,295230
GAZP,60,15/11/22,20:00,169.0200000,169.2400000,168.9700000,169.1100000,212170
GAZP,60,15/11/22,21:00,169.1100000,169.1500000,164.1100000,164.9400000,5729900
GAZP,60,15/11/22,22:00,164.9400000,166.9900000,161.7900000,166.7200000,11862440
GAZP,60,15/11/22,23:00,166.7800000,166.8000000,165.5300000,166.2500000,1692170
GAZP,60,16/11/22,10:00,166.7500000,168.8600000,166.6200000,168.1100000,5187080
GAZP,60,16/11/22,11:00,168.1200000,168.3800000,167.8100000,167.9400000,897390
GAZP,60,16/11/22,12:00,167.9400000,169.1500000,167.8400000,168.7100000,1907520
GAZP,60,16/11/22,13:00,168.7200000,168.8000000,168.3500000,168.4600000,641080
GAZP,60,16/11/22,14:00,168.4600000,168.7000000,167.8900000,168.1400000,882050
GAZP,60,16/11/22,15:00,168.1300000,168.9600000,168.1300000,168.5600000,1256740
GAZP,60,16/11/22,16:00,168.5900000,168.8600000,168.1500000,168.6100000,754540
GAZP,60,16/11/22,17:00,168.6100000,168.6600000,168.1700000,168.5800000,644720
GAZP,60,16/11/22,18:00,168.5700000,168.9000000,168.4000000,168.8800000,624690
GAZP,60,16/11/22,19:00,168.8800000,169.0000000,168.4400000,168.5900000,349580
GAZP,60,16/11/22,20:00,168.5400000,168.5900000,168.2000000,168.4400000,268680
GAZP,60,16/11/22,21:00,168.4100000,168.4400000,168.2600000,168.4400000,163940
GAZP,60,16/11/22,22:00,168.4400000,168.8000000,168.4400000,168.7900000,199480
GAZP,60,16/11/22,23:00,168.7500000,168.7900000,168.6800000,168.7600000,232890
GAZP,60,17/11/22,10:00,168.8100000,169.8000000,168.7100000,169.1700000,2505230
GAZP,60,17/11/22,11:00,169.1800000,169.2500000,168.3000000,168.7700000,1665750
GAZP,60,17/11/22,12:00,168.7500000,169.3000000,168.5000000,169.1800000,873310
GAZP,60,17/11/22,13:00,169.1900000,169.2700000,168.5500000,168.9600000,1042230
GAZP,60,17/11/22,14:00,168.9600000,169.4500000,168.5100000,168.9800000,1138850
GAZP,60,17/11/22,15:00,168.9800000,169.1100000,168.8300000,169.0800000,662160
GAZP,60,17/11/22,16:00,169.0800000,169.1100000,168.6500000,168.6800000,789290
GAZP,60,17/11/22,17:00,168.6700000,169.0800000,168.6000000,169.0000000,695750
GAZP,60,17/11/22,18:00,169.0000000,169.0400000,168.8000000,168.8100000,300260
GAZP,60,17/11/22,19:00,168.8000000,168.8000000,168.0100000,168.5600000,559920
GAZP,60,17/11/22,20:00,168.5300000,168.7900000,168.4900000,168.6400000,217280
GAZP,60,17/11/22,21:00,168.6500000,168.6700000,168.5500000,168.6200000,119660
GAZP,60,17/11/22,22:00,168.5800000,168.8600000,168.5700000,168.8500000,112650
GAZP,60,17/11/22,23:00,168.8500000,169.0600000,168.8200000,168.9900000,224890
GAZP,60,18/11/22,10:00,169.2000000,169.2500000,168.5400000,168.8400000,1497350
GAZP,60,18/11/22,11:00,168.8400000,168.8800000,168.1500000,168.2500000,998310
GAZP,60,18/11/22,12:00,168.2800000,168.6500000,167.6000000,167.6500000,1568360
GAZP,60,18/11/22,13:00,167.6500000,168.1200000,167.5100000,168.0200000,1186660
GAZP,60,18/11/22,14:00,168.0200000,168.6700000,167.9500000,168.1500000,691800
GAZP,60,18/11/22,15:00,168.1400000,168.2100000,168.0500000,168.1900000,372230
GAZP,60,18/11/22,16:00,168.2000000,168.2100000,167.8800000,167.9500000,487340
GAZP,60,18/11/22,17:00,167.9500000,169.0000000,167.9000000,168.6000000,1505380
GAZP,60,18/11/22,18:00,168.6100000,169.0100000,168.5600000,168.6900000,963540
GAZP,60,18/11/22,19:00,168.6900000,168.9600000,168.3700000,168.4200000,251140
GAZP,60,18/11/22,20:00,168.4200000,168.5900000,168.3800000,168.4000000,104100
GAZP,60,18/11/22,21:00,168.4000000,168.5700000,168.3000000,168.5600000,100370
GAZP,60,18/11/22,22:00,168.5600000,168.7900000,168.5200000,168.6700000,112880
GAZP,60,18/11/22,23:00,168.6800000,168.8000000,168.5800000,168.7900000,249510
GAZP,60,21/11/22,10:00,168.6000000,168.6700000,167.6000000,167.8300000,1460960
GAZP,60,21/11/22,11:00,167.8100000,167.8100000,167.0100000,167.0100000,2120320
GAZP,60,21/11/22,12:00,167.0100000,167.7700000,167.0000000,167.4900000,977940
GAZP,60,21/11/22,13:00,167.5000000,167.9600000,167.3500000,167.5000000,656630
GAZP,60,21/11/22,14:00,167.5000000,167.5400000,167.2500000,167.5000000,497770
GAZP,60,21/11/22,15:00,167.5000000,167.8000000,167.4500000,167.8000000,715130
GAZP,60,21/11/22,16:00,167.7900000,168.3800000,167.7900000,168.0000000,789020
GAZP,60,21/11/22,17:00,167.9900000,168.1000000,167.5000000,167.5800000,794910
GAZP,60,21/11/22,18:00,167.5800000,167.7600000,167.5100000,167.6400000,506240
GAZP,60,21/11/22,19:00,167.7600000,167.8400000,167.1000000,167.6000000,485380
GAZP,60,21/11/22,20:00,167.5800000,168.1500000,167.5600000,167.9900000,430700
GAZP,60,21/11/22,21:00,167.9800000,168.3800000,167.8900000,168.0800000,462990
GAZP,60,21/11/22,22:00,168.0800000,168.2100000,167.8700000,167.9200000,227820
GAZP,60,21/11/22,23:00,167.9700000,168.2000000,167.8500000,168.1300000,149510
GAZP,60,22/11/22,10:00,167.8900000,168.4000000,167.5000000,168.1400000,1996450
GAZP,60,22/11/22,11:00,168.1400000,168.5000000,167.7000000,167.9400000,1136350
GAZP,60,22/11/22,12:00,167.9400000,168.1800000,167.6700000,167.8600000,584120
GAZP,60,22/11/22,13:00,167.8600000,168.0000000,167.6500000,167.8100000,644540
GAZP,60,22/11/22,14:00,167.8000000,167.8500000,167.4500000,167.5200000,1105800
GAZP,60,22/11/22,15:00,167.5200000,167.9500000,167.4500000,167.6500000,976860
GAZP,60,22/11/22,16:00,167.6200000,167.7800000,167.5500000,167.7000000,425160
GAZP,60,22/11/22,17:00,167.7100000,168.1000000,167.6000000,168.1000000,583620
GAZP,60,22/11/22,18:00,168.1000000,168.3800000,168.0100000,168.2900000,1216490
GAZP,60,22/11/22,19:00,168.2900000,168.3800000,167.8500000,168.0000000,447010
GAZP,60,22/11/22,20:00,168.0000000,168.0000000,167.9000000,168.0000000,228220
GAZP,60,22/11/22,21:00,168.0000000,168.0000000,167.8000000,167.9800000,201800
GAZP,60,22/11/22,22:00,167.9800000,167.9900000,167.8500000,167.8900000,94590
GAZP,60,22/11/22,23:00,167.9000000,168.1500000,167.8300000,168.0800000,299340
GAZP,60,23/11/22,10:00,168.2500000,168.3500000,167.6000000,167.8600000,1107020
GAZP,60,23/11/22,11:00,167.8500000,168.1100000,167.5000000,168.0100000,1008870
GAZP,60,23/11/22,12:00,168.0200000,169.5000000,167.5300000,169.1700000,5134490
GAZP,60,23/11/22,13:00,169.1900000,170.6000000,168.8100000,169.8400000,4687270
GAZP,60,23/11/22,14:00,169.8100000,169.9100000,169.0700000,169.4000000,1535130
GAZP,60,23/11/22,15:00,169.4000000,169.7400000,169.1500000,169.1500000,812090
GAZP,60,23/11/22,16:00,169.1600000,169.2000000,168.5500000,169.0000000,1630960
GAZP,60,23/11/22,17:00,169.0000000,169.3500000,168.9200000,169.2500000,624880
GAZP,60,23/11/22,18:00,169.2400000,169.3100000,169.0000000,169.0000000,411000
GAZP,60,23/11/22,19:00,169.0000000,169.0600000,168.4100000,168.7100000,623810
GAZP,60,23/11/22,20:00,168.7000000,168.9500000,168.6200000,168.8400000,247550
GAZP,60,23/11/22,21:00,168.8400000,169.1500000,168.8000000,168.9700000,160870
GAZP,60,23/11/22,22:00,168.9400000,169.1500000,168.8500000,169.1000000,167610
GAZP,60,23/11/22,23:00,169.1000000,169.2900000,168.9200000,169.1500000,205390
GAZP,60,24/11/22,10:00,169.4100000,170.2400000,168.6000000,169.7200000,2227800
GAZP,60,24/11/22,11:00,169.7000000,170.8700000,169.5200000,170.1700000,3229200
GAZP,60,24/11/22,12:00,170.1600000,170.1900000,169.6600000,169.7600000,1016100
GAZP,60,24/11/22,13:00,169.7700000,169.9500000,169.3700000,169.7500000,549360
GAZP,60,24/11/22,14:00,169.7500000,169.7500000,169.1100000,169.3700000,781120
GAZP,60,24/11/22,15:00,169.3700000,169.5000000,169.1400000,169.3100000,336750
GAZP,60,24/11/22,16:00,169.3400000,169.3600000,169.0500000,169.1700000,731420
GAZP,60,24/11/22,17:00,169.1800000,169.4500000,169.0000000,169.0300000,644700
GAZP,60,24/11/22,18:00,169.0400000,169.2900000,168.8000000,169.2900000,725400
GAZP,60,24/11/22,19:00,169.1700000,169.2000000,168.8900000,169.1500000,132220
GAZP,60,24/11/22,20:00,169.1500000,169.1500000,169.0000000,169.0500000,80280
GAZP,60,24/11/22,21:00,169.0500000,169.1500000,168.9600000,168.9800000,112100
GAZP,60,24/11/22,22:00,168.9800000,169.1100000,168.9000000,168.9400000,120660
GAZP,60,24/11/22,23:00,168.9400000,169.0800000,168.9000000,168.9600000,108810
GAZP,60,25/11/22,10:00,169.2000000,169.4900000,168.1000000,168.2200000,2797290
GAZP,60,25/11/22,11:00,168.2200000,168.8000000,168.1000000,168.7100000,842170
GAZP,60,25/11/22,12:00,168.7100000,168.7300000,168.4000000,168.7300000,570370
GAZP,60,25/11/22,13:00,168.7300000,168.7300000,168.5700000,168.7300000,392830
GAZP,60,25/11/22,14:00,168.7300000,169.0400000,168.6500000,168.9900000,762450
GAZP,60,25/11/22,15:00,168.9900000,169.0400000,168.7600000,168.8600000,611140
GAZP,60,25/11/22,16:00,168.8600000,169.1000000,168.8500000,169.0900000,745050
GAZP,60,25/11/22,17:00,169.0600000,169.1400000,168.9000000,169.0100000,1035840
GAZP,60,25/11/22,18:00,169.0400000,169.1800000,169.0200000,169.1800000,1578160
GAZP,60,25/11/22,19:00,169.5000000,169.5300000,168.9000000,168.9800000,276550
GAZP,60,25/11/22,20:00,168.9600000,169.0000000,168.9100000,168.9500000,126770
GAZP,60,25/11/22,21:00,168.9500000,168.9700000,168.8700000,168.8800000,98780
GAZP,60,25/11/22,22:00,168.9200000,169.0900000,168.8700000,169.0000000,72310
GAZP,60,25/11/22,23:00,169.0000000,169.1900000,168.9400000,169.0300000,246740
