<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
YNDX,60,01/11/22,10:00,2118.8000000,2132.2000000,2112.0000000,2124.8000000,128960
YNDX,60,01/11/22,11:00,2124.0000000,2125.0000000,2104.2000000,2107.0000000,87487
YNDX,60,01/11/22,12:00,2107.0000000,2116.6000000,2097.0000000,2116.6000000,40917
YNDX,60,01/11/22,13:00,2115.4000000,2119.2000000,2100.0000000,2104.0000000,28737
YNDX,60,01/11/22,14:00,2104.2000000,2129.8000000,2100.0000000,2126.0000000,64058
YNDX,60,01/11/22,15:00,2126.0000000,2148.6000000,2120.0000000,2147.4000000,76536
YNDX,60,01/11/22,16:00,2147.8000000,2150.0000000,2135.6000000,2144.2000000,63252
YNDX,60,01/11/22,17:00,2144.4000000,2144.8000000,2138.0000000,2142.8000000,22308
YNDX,60,01/11/22,18:00,2142.6000000,2145.2000000,2132.6000000,2145.2000000,33121
YNDX,60,01/11/22,19:00,2145.2000000,2160.0000000,2140.2000000,2147.4000000,71858
YNDX,60,01/11/22,20:00,2147.4000000,2158.2000000,2140.0000000,2153.0000000,68359
YNDX,60,01/11/22,21:00,2153.0000000,2158.0000000,2151.2000000,2156.4000000,31116
YNDX,60,01/11/22,22:00,2155.4000000,2156.8000000,2150.2000000,2152.6000000,14848
YNDX,60,01/11/22,23:00,2152.8000000,2157.0000000,2151.0000000,2157.0000000,16232
YNDX,60,02/11/22,10:00,2160.0000000,2165.0000000,2136.2000000,2147.0000000,131057
YNDX,60,02/11/22,11:00,2146.2000000,2154.4000000,2143.0000000,2150.8000000,28577
YNDX,60,02/11/22,12:00,2150.8000000,2155.8000000,2144.6000000,2155.8000000,32398
YNDX,60,02/11/22,13:00,2155.6000000,2159.4000000,2150.4000000,2153.2000000,24133
YNDX,60,02/11/22,14:00,2153.2000000,2153.2000000,2141.0000000,2144.2000000,26543
YNDX,60,02/11/22,15:00,2144.2000000,2148.6000000,2140.2000000,2142.8000000,19339
YNDX,60,02/11/22,16:00,2142.8000000,2144.0000000,2110.0000000,2122.2000000,76563
YNDX,60,02/11/22,17:00,2122.4000000,2131.0000000,2120.4000000,2130.8000000,24520
YNDX,60,02/11/22,18:00,2130.0000000,2136.6000000,2129.0000000,2132.0000000,17119
YNDX,60,02/11/22,19:00,2137.6000000,2137.6000000,2128.2000000,2131.2000000,12076
YNDX,60,02/11/22,20:00,2132.0000000,2137.8000000,2125.4000000,2129.4000000,13576
YNDX,60,02/11/22,21:00,2129.2000000,2132.8000000,2122.8000000,2125.4000000,13966
YNDX,60,02/11/22,22:00,2125.6000000,2130.0000000,2108.0000000,2109.6000000,41372
